,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"alpha[0, 0]",25,7.1,16,37,1151,470,1.00,0.21,0.26
"alpha[0, 1]",19.4,7.3,9.8,33,818,967,1.00,0.25,0.32
"alpha[0, 2]",17.2,4.3,11,24,1485,698,1.00,0.12,0.13
"alpha[0, 3]",20.9,6,14,30,904,943,1.00,0.23,0.59
"alpha[0, 4]",23,8.5,14,39,1115,826,1.00,0.27,0.35
"alpha[0, 5]",20.1,8.3,11,36,1579,654,1.00,0.25,0.31
"alpha[0, 6]",21,8.1,12,36,1323,679,1.00,0.23,0.31
"alpha[0, 7]",14.8,4.9,8.5,23,1436,811,1.00,0.14,0.17
"alpha[0, 8]",20.8,6.5,14,33,1071,911,1.00,0.22,0.28
"alpha[0, 9]",14.3,4.3,8.5,22,1461,748,1.00,0.12,0.11
"alpha[0, 10]",20.4,5.8,13,31,1000,715,1.00,0.21,0.28
"alpha[0, 11]",21.5,7.5,13,35,1425,818,1.00,0.2,0.23
"alpha[0, 12]",12.2,7.4,3.1,25,922,732,1.00,0.23,0.33
"alpha[0, 13]",22.9,7.6,15,35,1386,697,1.00,0.22,0.33
"alpha[0, 14]",23.7,8,15,38,707,597,1.00,0.3,0.56
"alpha[0, 15]",12.7,4.2,7.2,21,1205,788,1.00,0.13,0.12
"alpha[0, 16]",6,9,0.6,26,47,34,1.04,1.9,2.7
"alpha[0, 17]",19.6,6.8,12,32,1336,833,1.00,0.21,0.27
"alpha[0, 18]",12.4,7.2,4.4,25,696,662,1.00,0.23,0.38
"alpha[0, 19]",14.2,7.8,6.9,28,1151,696,1.00,0.26,0.39
"alpha[0, 20]",24.8,8.8,15,42,2040,604,1.01,0.23,0.27
"alpha[0, 21]",20.7,8.6,12,37,1493,858,1.00,0.25,0.35
"alpha[0, 22]",19.3,8.7,11,36,1151,738,1.00,0.29,0.45
"alpha[0, 23]",21.4,8.5,13,38,1316,747,1.00,0.27,0.34
"alpha[0, 24]",21.2,8.2,13,36,1152,761,1.00,0.26,0.41
"alpha[0, 25]",22.9,6.8,15,35,983,827,1.00,0.23,0.26
"alpha[0, 26]",21.3,7.2,14,34,1322,940,1.00,0.21,0.33
"alpha[0, 27]",29.2,7.9,21,43,1552,923,1.00,0.21,0.28
"alpha[0, 28]",22,9.9,12,40,1076,632,1.00,0.3,0.48
"alpha[0, 29]",22.4,9.2,12,39,1671,794,1.01,0.24,0.26
"alpha[0, 30]",17.2,8.1,9,32,1251,793,1.00,0.23,0.38
"alpha[0, 31]",15,5.8,7.9,25,949,692,1.01,0.19,0.28
"alpha[0, 32]",20.6,9.2,9.4,37,992,679,1.00,0.29,0.3
"alpha[0, 33]",14.3,7.4,6.2,27,938,676,1.00,0.24,0.34
"alpha[0, 34]",30.9,11,18,50,1250,763,1.00,0.31,0.46
"alpha[0, 35]",14.7,7.8,7,29,1685,922,1.00,0.23,0.3
"alpha[0, 36]",24.5,8.9,15,39,1326,700,1.00,0.28,0.48
"alpha[0, 37]",17.5,8.2,9.2,32,1561,831,1.00,0.25,0.37
"alpha[0, 38]",20.9,7.6,13,34,1355,794,1.00,0.23,0.39
"alpha[0, 39]",13.4,4.4,7.3,21,1397,715,1.00,0.12,0.12
"alpha[0, 40]",21.3,8.2,13,37,1151,723,1.00,0.28,0.35
"alpha[0, 41]",10.7,3.7,5.6,17,1821,928,1.00,0.091,0.078
"alpha[0, 42]",13.4,4.1,7.6,20,1522,732,1.01,0.11,0.11
"alpha[0, 43]",8.8,4.4,3.9,16,1018,700,1.00,0.15,0.28
"alpha[0, 44]",13.8,6.4,7.2,24,1050,861,1.00,0.21,0.43
"alpha[0, 45]",28,8.2,19,43,1136,779,1.00,0.27,0.33
"alpha[0, 46]",28.8,8.4,19,45,1332,895,1.00,0.25,0.26
"alpha[0, 47]",25.5,6.5,18,37,1096,625,1.00,0.22,0.26
"alpha[0, 48]",19.4,7.1,12,33,595,605,1.00,0.29,0.34
"alpha[0, 49]",25.9,9.8,15,44,1466,652,1.00,0.31,0.43
"alpha[0, 50]",24.2,8.2,15,40,1690,715,1.00,0.24,0.29
"alpha[0, 51]",31.8,9.1,22,49,1371,724,1.00,0.28,0.32
"alpha[0, 52]",24.8,9.2,15,40,1491,950,1.00,0.27,0.46
"alpha[0, 53]",27.3,13,12,50,1324,617,1.00,0.4,0.65
"alpha[0, 54]",25.7,7.4,17,39,1517,707,1.00,0.21,0.25
"alpha[0, 55]",35,13.2,19,60,1648,857,1.00,0.34,0.35
"alpha[0, 56]",19.5,9.4,9.7,37,1687,913,1.00,0.25,0.39
"alpha[0, 57]",26.5,8.6,18,41,1016,619,1.00,0.3,0.4
"alpha[0, 58]",27.1,9.1,17,44,1443,766,1.00,0.27,0.33
"alpha[0, 59]",16.6,4.6,10,25,1379,592,1.00,0.12,0.12
"alpha[0, 60]",20.8,7.3,13,34,1075,811,1.00,0.22,0.36
"alpha[0, 61]",23.3,6.4,16,35,1013,780,1.00,0.22,0.29
"alpha[0, 62]",26.3,8,18,39,913,635,1.00,0.3,0.88
"alpha[0, 63]",27.8,9.6,17,46,1594,825,1.00,0.26,0.27
"alpha[0, 64]",32.1,10.1,21,50,1427,814,1.00,0.28,0.37
"alpha[0, 65]",20.6,9.1,7.1,36,623,586,1.00,0.34,0.4
"alpha[0, 66]",13.1,4.7,7.7,20,1028,650,1.00,0.16,0.28
"alpha[0, 67]",25.4,9.6,14,43,1722,896,1.00,0.26,0.34
"alpha[0, 68]",32.4,10.5,21,51,1435,735,1.01,0.32,0.36
"alpha[0, 69]",51.5,12.5,34,73,1749,808,1.00,0.3,0.25
"alpha[0, 70]",29.8,11.1,17,51,1667,547,1.00,0.36,0.42
"alpha[0, 71]",22.4,6.5,14,34,980,737,1.00,0.22,0.28
"alpha[0, 72]",25,6.3,17,37,1006,853,1.00,0.2,0.24
"alpha[0, 73]",26.6,9.7,15,46,2186,744,1.01,0.24,0.24
"alpha[0, 74]",25.4,6.7,17,38,994,740,1.00,0.23,0.31
"alpha[0, 75]",25.9,7.7,17,39,888,643,1.00,0.24,0.41
"alpha[0, 76]",28.7,8.7,20,45,1289,803,1.00,0.28,0.42
"alpha[0, 77]",26.8,9,17,44,1505,860,1.00,0.25,0.26
"alpha[0, 78]",30.4,8,22,44,1128,833,1.00,0.26,0.45
"alpha[0, 79]",29.1,9.5,19,46,1619,748,1.00,0.28,0.38
"alpha[0, 80]",19.6,8.2,11,35,1776,751,1.00,0.22,0.3
"alpha[0, 81]",26.9,9.6,16,45,1379,805,1.00,0.28,0.38
"alpha[0, 82]",16,6.1,8.4,26,910,894,1.00,0.21,0.27
"alpha[0, 83]",27.2,6.4,19,39,1595,874,1.00,0.17,0.19
"alpha[0, 84]",28,8,19,44,1755,781,1.00,0.21,0.26
"alpha[0, 85]",21,7.7,13,34,1267,764,1.00,0.25,0.4
"alpha[0, 86]",15.5,7.2,8.6,29,1277,780,1.00,0.23,0.38
"alpha[0, 87]",29.3,8.4,20,45,1717,798,1.01,0.24,0.33
"alpha[0, 88]",25.5,10.3,14,44,1698,751,1.00,0.26,0.3
"alpha[0, 89]",26.4,9,16,42,1212,580,1.00,0.31,0.55
"alpha[0, 90]",23.9,8.3,15,40,1950,642,1.00,0.25,0.3
"alpha[0, 91]",24.6,5.9,16,35,1708,722,1.00,0.15,0.13
"alpha[0, 92]",23,9,14,38,1281,838,1.00,0.31,0.55
"alpha[0, 93]",25.8,9.2,16,43,1505,827,1.00,0.27,0.39
"alpha[0, 94]",18.2,5.4,11,28,862,826,1.00,0.19,0.25
"alpha[0, 95]",21.6,7.9,13,37,1404,656,1.00,0.24,0.32
"alpha[0, 96]",27.3,8.5,18,42,1199,759,1.00,0.27,0.4
"alpha[0, 97]",27.7,9.2,17,44,1301,792,1.00,0.26,0.38
"alpha[0, 98]",25.2,8,17,40,1080,714,1.00,0.29,0.56
"alpha[0, 99]",20.3,9,11,37,1532,781,1.00,0.26,0.35
"alpha[0, 100]",20.8,7.7,12,35,1108,828,1.00,0.22,0.3
"alpha[0, 101]",10.6,3.4,5.9,17,1282,598,1.00,0.11,0.094
"alpha[0, 102]",21.3,8.4,12,37,940,705,1.00,0.29,0.37
"alpha[0, 103]",16,6.7,8.1,28,1260,801,1.00,0.22,0.3
"alpha[0, 104]",24.3,7.4,16,36,1285,780,1.00,0.22,0.36
"alpha[0, 105]",25.4,7.5,17,39,1255,725,1.00,0.21,0.29
"alpha[0, 106]",25.4,8.1,17,40,1099,713,1.00,0.25,0.32
"alpha[0, 107]",24.2,8.2,15,39,1223,840,1.00,0.24,0.32
"alpha[0, 108]",30.3,7.8,22,44,1071,814,1.00,0.28,0.41
"alpha[0, 109]",15.8,8.4,7,32,1749,834,1.00,0.22,0.33
"alpha[0, 110]",24.9,9.4,14,41,1615,1022,1.00,0.26,0.32
"alpha[0, 111]",19.9,7.6,12,34,1309,858,1.00,0.22,0.33
"alpha[0, 112]",19.6,5.4,13,29,1360,782,1.00,0.14,0.12
"alpha[0, 113]",17.7,6.4,11,28,976,810,1.00,0.21,0.3
"alpha[0, 114]",16.1,7.6,8.5,30,855,506,1.00,0.23,0.36
"alpha[0, 115]",16.2,4.3,10,24,1968,792,1.00,0.1,0.12
"alpha[0, 116]",19.4,7.9,11,34,1172,656,1.00,0.25,0.31
"alpha[0, 117]",29.2,9.1,19,46,1195,730,1.00,0.29,0.47
"alpha[0, 118]",16,7.9,8.1,31,1448,934,1.00,0.22,0.29
"alpha[0, 119]",26,10.1,14,46,1615,766,1.00,0.27,0.32
"alpha[0, 120]",17.4,6.9,11,30,1058,586,1.00,0.25,0.48
"alpha[0, 121]",16.5,9.2,7.2,32,1218,763,1.00,0.3,0.41
"alpha[0, 122]",17.1,8.4,8.6,32,1481,729,1.00,0.24,0.3
"alpha[0, 123]",24.5,7.8,16,38,1218,827,1.00,0.24,0.35
"alpha[0, 124]",27,6.1,20,38,1471,725,1.00,0.18,0.22
"alpha[0, 125]",24.5,7.6,16,38,1237,820,1.00,0.22,0.29
"alpha[0, 126]",26.3,9,17,43,1200,776,1.00,0.29,0.38
"alpha[0, 127]",20.7,7.9,12,37,1449,774,1.00,0.25,0.31
"alpha[0, 128]",22.3,7.3,14,36,1161,975,1.00,0.22,0.33
"alpha[0, 129]",16.8,7.6,8.4,30,1530,677,1.00,0.23,0.29
"alpha[0, 130]",15.5,9.1,6.5,33,1605,655,1.00,0.26,0.36
"alpha[0, 131]",24.4,10,13,43,1508,883,1.00,0.25,0.31
"alpha[0, 132]",14.6,8.2,6,31,1520,691,1.00,0.21,0.23
"alpha[0, 133]",16,8.5,7.3,33,1471,766,1.00,0.26,0.34
"alpha[0, 134]",17.1,8.2,8.7,32,1315,665,1.00,0.26,0.39
"alpha[0, 135]",25.1,7.3,17,38,1286,729,1.01,0.21,0.29
"alpha[0, 136]",24.4,8.8,15,39,1733,850,1.00,0.24,0.36
"alpha[0, 137]",18.7,8,10,34,1722,790,1.01,0.26,0.37
"alpha[0, 138]",20.9,8.7,12,38,1283,594,1.00,0.3,0.32
"alpha[0, 139]",10.5,4.8,5.3,19,1153,789,1.00,0.15,0.24
"alpha[0, 140]",23.9,9.8,13,42,1824,734,1.01,0.28,0.32
"alpha[0, 141]",23.9,9.4,14,43,1369,848,1.00,0.26,0.33
"alpha[0, 142]",16.3,6.8,9.3,29,1266,959,1.00,0.19,0.26
"alpha[0, 143]",4.7,3.4,0.87,11,956,652,1.00,0.12,0.18
"alpha[0, 144]",21.9,9.6,11,40,1670,762,1.00,0.25,0.29
"alpha[0, 145]",26.6,8.4,18,41,1207,858,1.00,0.27,0.42
"alpha[0, 146]",22.3,8.3,13,38,1322,822,1.00,0.26,0.29
"alpha[0, 147]",21.2,7.7,13,36,1102,743,1.00,0.26,0.41
"alpha[0, 148]",18.2,7.2,9.2,31,659,400,1.01,0.26,0.29
"alpha[0, 149]",26.5,9.7,16,43,1288,625,1.00,0.31,0.46
"alpha[0, 150]",14.8,5.9,8,26,717,614,1.00,0.21,0.22
"alpha[0, 151]",20.9,9.1,11,38,1435,857,1.00,0.25,0.25
"alpha[0, 152]",19.5,7.7,11,35,1095,704,1.01,0.23,0.26
"alpha[0, 153]",32.8,10,23,49,1297,629,1.00,0.33,0.56
"alpha[0, 154]",7.9,3.1,3.7,13,2067,764,1.01,0.066,0.061
"alpha[0, 155]",14.6,7.2,7.5,28,1616,836,1.00,0.2,0.27
"alpha[0, 156]",24,8,15,40,975,648,1.00,0.28,0.31
"alpha[0, 157]",22.1,9.7,12,39,1482,747,1.00,0.27,0.39
"alpha[0, 158]",17,5.2,10,26,1879,553,1.00,0.12,0.12
"alpha[0, 159]",17.3,7.3,9.5,30,1109,830,1.00,0.22,0.3
"alpha[0, 160]",21.7,7.5,14,35,1044,609,1.00,0.25,0.35
"alpha[0, 161]",15.7,8,7.4,31,1199,836,1.00,0.23,0.28
"alpha[0, 162]",17.8,6.1,11,29,1001,770,1.00,0.21,0.31
"alpha[0, 163]",20.2,5.7,13,30,1223,669,1.00,0.17,0.25
"alpha[0, 164]",16.4,7.4,8.8,31,1233,722,1.00,0.24,0.3
"alpha[0, 165]",26.4,10.9,13,47,1715,883,1.00,0.27,0.28
"alpha[0, 166]",9.3,4,4.6,16,1201,887,1.00,0.12,0.17
"alpha[0, 167]",4.02,1.8,1.7,7.3,1649,781,1.00,0.044,0.043
"alpha[0, 168]",15.1,6.9,8.2,28,1321,825,1.00,0.19,0.27
"alpha[0, 169]",21.8,7.2,14,35,848,816,1.00,0.25,0.41
"alpha[0, 170]",16.8,6.3,9,28,773,690,1.00,0.22,0.27
"alpha[0, 171]",13.2,5.6,7.1,24,759,753,1.00,0.21,0.28
"alpha[0, 172]",9.7,6.4,2.7,21,554,877,1.00,0.26,0.38
"alpha[0, 173]",22.2,8.1,14,37,1343,724,1.00,0.28,0.41
"alpha[0, 174]",11.8,5.8,6,23,1000,759,1.00,0.2,0.31
"alpha[0, 175]",21.1,9,12,37,1413,1009,1.00,0.27,0.5
"alpha[0, 176]",15.1,8,7.3,29,1183,737,1.00,0.24,0.55
"alpha[0, 177]",4.1,2.3,1.3,8.1,2120,691,1.00,0.053,0.052
"alpha[0, 178]",7.7,3,3.7,13,2236,838,1.00,0.063,0.06
"alpha[0, 179]",18.4,8,11,34,1291,795,1.00,0.25,0.42
"alpha[0, 180]",17.7,8.9,8.7,33,1400,703,1.00,0.29,0.49
"alpha[0, 181]",16,7.9,8.1,31,955,690,1.00,0.25,0.32
"alpha[0, 182]",16.4,7.7,8.4,31,1576,818,1.00,0.21,0.23
"alpha[0, 183]",20.3,6.5,12,31,1230,823,1.00,0.19,0.28
"alpha[0, 184]",19.1,8.1,11,35,1445,847,1.00,0.23,0.3
"alpha[0, 185]",18,6.4,9.4,29,1878,798,1.00,0.14,0.13
"alpha[0, 186]",15.9,5.1,9.9,24,1098,713,1.00,0.17,0.26
"alpha[0, 187]",25.2,8,16,39,1354,765,1.00,0.24,0.36
"alpha[0, 188]",21.5,8,13,35,1186,761,1.00,0.28,0.47
"alpha[0, 189]",17.1,6.6,10,29,772,705,1.01,0.24,0.27
"alpha[0, 190]",26.1,8.1,16,41,1141,714,1.00,0.24,0.24
"alpha[0, 191]",21.6,7.5,13,35,1607,650,1.01,0.21,0.26
"alpha[0, 192]",23.9,8.4,15,39,1222,693,1.00,0.24,0.31
"alpha[0, 193]",22.8,7.7,14,37,1376,990,1.00,0.24,0.36
"alpha[0, 194]",23.8,9,14,39,1179,655,1.01,0.31,0.4
"alpha[0, 195]",10.9,5.2,5.1,20,868,761,1.00,0.18,0.3
"alpha[0, 196]",20.3,8.2,11,36,984,806,1.00,0.27,0.34
"alpha[0, 197]",16.8,7.1,9.2,31,2026,785,1.00,0.17,0.19
"alpha[0, 198]",22.9,8.8,14,40,1401,610,1.00,0.27,0.29
"alpha[0, 199]",18.6,7.4,11,31,923,785,1.00,0.25,0.49
"alpha[0, 200]",15.4,4.4,9.6,22,1659,904,1.00,0.11,0.14
"alpha[0, 201]",20.3,8.7,11,36,1413,866,1.00,0.24,0.3
"alpha[0, 202]",25.3,9.4,14,43,1817,791,1.00,0.26,0.26
"alpha[0, 203]",21.7,8,12,35,1030,834,1.00,0.23,0.34
"alpha[0, 204]",14.5,5.7,8.2,24,897,552,1.00,0.21,0.32
"alpha[0, 205]",26.5,7.2,18,39,778,694,1.00,0.27,0.32
"alpha[0, 206]",26.7,11.2,14,47,1285,755,1.00,0.34,0.38
"alpha[0, 207]",16.4,4.6,11,24,1149,661,1.01,0.14,0.21
"alpha[0, 208]",24.8,7.7,16,38,1109,881,1.00,0.23,0.37
"alpha[0, 209]",28.6,8,20,42,794,625,1.00,0.29,0.51
"alpha[0, 210]",22.1,7,14,33,994,805,1.00,0.26,0.64
"alpha[0, 211]",14.7,8,6.2,29,1589,754,1.00,0.22,0.31
"alpha[0, 212]",14.1,4.8,8.5,22,936,822,1.00,0.18,0.2
"alpha[0, 213]",9.9,6.3,2,20,1023,835,1.00,0.19,0.26
"alpha[0, 214]",14.8,7,7.7,28,1378,723,1.00,0.2,0.26
"alpha[0, 215]",21.2,10.2,10,40,1279,751,1.00,0.31,0.38
"alpha[0, 216]",15.5,4.6,9.5,24,1988,857,1.00,0.11,0.1
"alpha[0, 217]",25.2,10.1,14,45,1587,707,1.00,0.27,0.29
"alpha[0, 218]",7.7,3,3.8,13,1439,752,1.00,0.1,0.14
"alpha[0, 219]",25.8,8.7,15,42,1555,924,1.00,0.25,0.27
"alpha[0, 220]",19.2,9.2,9.9,34,1580,597,1.00,0.25,0.39
"alpha[0, 221]",21.8,9.1,12,38,1583,671,1.00,0.27,0.33
"alpha[0, 222]",20.3,7.9,12,36,1521,831,1.00,0.22,0.29
"alpha[0, 223]",21.6,7.5,13,36,1710,834,1.00,0.2,0.24
"alpha[0, 224]",19.7,7.6,12,35,1716,772,1.00,0.21,0.25
"alpha[0, 225]",21.9,9.8,11,40,1308,672,1.00,0.32,0.43
"alpha[0, 226]",13.2,7.5,5.6,25,1280,509,1.00,0.24,0.36
"alpha[0, 227]",19.2,9.1,9.3,36,1875,857,1.00,0.26,0.33
"alpha[0, 228]",15.6,7.8,8.2,29,1020,644,1.00,0.28,0.44
"alpha[0, 229]",12.1,6.1,5.2,22,1013,682,1.00,0.19,0.31
"alpha[0, 230]",22.5,9,13,39,1361,774,1.00,0.29,0.55
"alpha[0, 231]",18.3,7.8,10,34,1012,536,1.00,0.25,0.37
"alpha[0, 232]",23.6,8.5,14,38,1508,804,1.01,0.24,0.34
"alpha[0, 233]",24.4,7,17,36,828,832,1.00,0.22,0.33
"alpha[0, 234]",21.1,7.8,13,35,1327,794,1.00,0.22,0.32
"alpha[0, 235]",25.5,7.8,17,39,937,679,1.00,0.25,0.42
"alpha[0, 236]",25.2,9.3,15,41,1269,917,1.00,0.28,0.44
"alpha[0, 237]",24.1,8.1,14,40,1177,729,1.00,0.25,0.25
"alpha[0, 238]",26.7,7.7,18,42,1202,678,1.00,0.24,0.3
"alpha[0, 239]",17.2,7.7,9.2,29,1028,702,1.00,0.24,0.42
"alpha[0, 240]",22.7,6.1,15,33,956,799,1.00,0.2,0.27
"alpha[0, 241]",23.9,10.1,13,43,1264,882,1.00,0.29,0.34
"alpha[0, 242]",16.3,7.9,7.7,31,1963,746,1.00,0.23,0.3
"alpha[0, 243]",16.1,5,9.4,24,1236,805,1.00,0.15,0.21
"alpha[1, 0]",28.9,7.9,20,44,1449,683,1.00,0.23,0.23
"alpha[1, 1]",26.4,6.9,19,38,1558,580,1.00,0.21,0.27
"alpha[1, 2]",22.9,8.3,15,38,1359,927,1.01,0.24,0.42
"alpha[1, 3]",19,5.7,12,28,1316,837,1.00,0.17,0.26
"alpha[1, 4]",19,6.9,12,32,1236,750,1.00,0.24,0.32
"alpha[1, 5]",16.8,7.1,8.9,29,1051,872,1.00,0.24,0.31
"alpha[1, 6]",20.5,7.7,12,35,773,544,1.00,0.3,0.33
"alpha[1, 7]",18.1,7.3,9,31,639,709,1.00,0.26,0.37
"alpha[1, 8]",23.8,7.5,16,38,1112,849,1.00,0.24,0.33
"alpha[1, 9]",15.3,5,9,24,1803,833,1.00,0.12,0.17
"alpha[1, 10]",22.4,7.1,14,34,801,533,1.00,0.24,0.4
"alpha[1, 11]",23.4,7.6,15,37,1143,799,1.00,0.21,0.3
"alpha[1, 12]",28.2,8.4,19,45,1106,747,1.00,0.28,0.38
"alpha[1, 13]",26.6,8.3,18,43,1536,782,1.00,0.25,0.28
"alpha[1, 14]",29.9,7.6,21,43,1154,841,1.00,0.23,0.26
"alpha[1, 15]",28,7.7,20,43,1024,818,1.00,0.25,0.31
"alpha[1, 16]",18.5,5.4,11,28,1064,764,1.01,0.16,0.17
"alpha[1, 17]",16,8.5,6.9,31,1134,769,1.00,0.23,0.35
"alpha[1, 18]",19.9,9.8,9,38,1502,714,1.00,0.31,0.38
"alpha[1, 19]",24.3,6.4,16,36,1414,919,1.00,0.17,0.14
"alpha[1, 20]",30.7,10.6,19,50,1376,788,1.00,0.31,0.38
"alpha[1, 21]",15.5,6.1,9,26,1205,850,1.00,0.19,0.3
"alpha[1, 22]",18.4,4.5,13,26,1313,567,1.01,0.13,0.12
"alpha[1, 23]",21,11.1,8.7,42,1198,774,1.00,0.33,0.43
"alpha[1, 24]",10.7,6.7,3.3,22,928,1051,1.00,0.21,0.3
"alpha[1, 25]",24.2,6.1,17,35,872,655,1.00,0.23,0.26
"alpha[1, 26]",21.6,7.1,14,33,1161,775,1.00,0.22,0.41
"alpha[1, 27]",29.1,8.2,20,44,988,696,1.00,0.27,0.35
"alpha[1, 28]",18.8,8.4,10,34,1327,705,1.00,0.25,0.31
"alpha[1, 29]",8.8,7.1,1.7,22,1455,682,1.01,0.2,0.27
"alpha[1, 30]",21.3,7.1,13,34,1225,663,1.00,0.21,0.26
"alpha[1, 31]",26.3,6.2,18,38,1633,756,1.00,0.17,0.18
"alpha[1, 32]",16.9,6.9,8.4,29,1156,669,1.00,0.2,0.24
"alpha[1, 33]",25.4,7.4,15,38,1710,874,1.00,0.19,0.19
"alpha[1, 34]",37.4,12,23,59,1500,746,1.00,0.32,0.32
"alpha[1, 35]",12.3,6.6,5.8,25,1246,914,1.00,0.19,0.25
"alpha[1, 36]",19.8,8.3,11,35,1416,804,1.00,0.24,0.48
"alpha[1, 37]",9.8,5.5,4.3,20,885,749,1.00,0.2,0.29
"alpha[1, 38]",10,4.8,4.1,20,1174,797,1.00,0.14,0.14
"alpha[1, 39]",16,5.2,9.7,25,1114,670,1.00,0.16,0.22
"alpha[1, 40]",6.1,3.9,1.7,12,1338,705,1.00,0.12,0.35
"alpha[1, 41]",26.1,5.9,19,36,980,832,1.00,0.19,0.24
"alpha[1, 42]",28.6,8,20,42,947,771,1.00,0.27,0.44
"alpha[1, 43]",19,7.5,11,33,865,648,1.00,0.24,0.3
"alpha[1, 44]",32,9.8,22,50,1221,717,1.00,0.32,0.43
"alpha[1, 45]",28.2,8.7,19,43,1221,735,1.00,0.28,0.36
"alpha[1, 46]",23.9,8.4,15,37,1265,767,1.00,0.26,0.44
"alpha[1, 47]",24.7,6.4,17,35,1120,688,1.00,0.22,0.29
"alpha[1, 48]",18.9,7,12,30,1057,764,1.00,0.25,0.52
"alpha[1, 49]",15.3,7.6,8.2,28,476,327,1.01,0.25,0.44
"alpha[1, 50]",27.4,8.9,18,44,1370,569,1.01,0.27,0.38
"alpha[1, 51]",22.5,7.4,15,35,1277,713,1.00,0.2,0.31
"alpha[1, 52]",28.2,10.3,16,47,1144,702,1.00,0.3,0.35
"alpha[1, 53]",15.5,8.8,6.6,32,2046,782,1.00,0.23,0.3
"alpha[1, 54]",24.3,8.5,14,39,1226,703,1.00,0.27,0.32
"alpha[1, 55]",2.4,2.4,0.37,6.5,1082,665,1.00,0.088,0.23
"alpha[1, 56]",30.7,12.3,14,54,1711,654,1.01,0.31,0.28
"alpha[1, 57]",28.8,8.9,19,45,1239,807,1.00,0.31,0.43
"alpha[1, 58]",27.2,7.9,17,42,1586,860,1.00,0.21,0.23
"alpha[1, 59]",24.4,8.1,16,39,1030,609,1.00,0.3,0.35
"alpha[1, 60]",27.3,8.9,18,45,1403,715,1.00,0.26,0.33
"alpha[1, 61]",30,7.8,21,44,1193,852,1.00,0.25,0.32
"alpha[1, 62]",26,7.4,18,39,929,849,1.00,0.25,0.48
"alpha[1, 63]",14.8,9.6,3.5,34,1089,585,1.00,0.27,0.27
"alpha[1, 64]",24.4,7.7,16,38,1076,804,1.00,0.26,0.32
"alpha[1, 65]",32.4,9.6,22,48,1471,769,1.00,0.29,0.47
"alpha[1, 66]",20.4,7.4,13,35,1368,701,1.00,0.22,0.26
"alpha[1, 67]",33.1,11.9,18,55,2198,883,1.00,0.28,0.27
"alpha[1, 68]",21.8,5.6,14,31,1827,787,1.00,0.13,0.1
"alpha[1, 69]",3.8,3,1.2,7.7,1183,729,1.00,0.11,0.52
"alpha[1, 70]",9.8,8.5,1.2,27,1405,687,1.00,0.22,0.26
"alpha[1, 71]",27.7,7.3,20,41,790,707,1.00,0.28,0.35
"alpha[1, 72]",25.2,6.1,18,35,947,576,1.01,0.2,0.43
"alpha[1, 73]",18.7,8.8,7.7,35,2182,820,1.00,0.19,0.19
"alpha[1, 74]",24.9,6,18,35,997,739,1.00,0.2,0.28
"alpha[1, 75]",27.1,7.2,19,40,1097,840,1.00,0.22,0.27
"alpha[1, 76]",33.7,9.9,21,51,1185,571,1.00,0.29,0.3
"alpha[1, 77]",22.5,9.8,10,41,1436,691,1.00,0.25,0.28
"alpha[1, 78]",29.4,7.6,21,45,937,750,1.00,0.27,0.33
"alpha[1, 79]",29.6,11.5,16,51,1451,896,1.00,0.34,0.42
"alpha[1, 80]",16.2,8.4,6.5,32,1363,732,1.00,0.23,0.26
"alpha[1, 81]",14,9.1,2.1,28,569,494,1.00,0.32,0.41
"alpha[1, 82]",27.9,8,19,42,1115,819,1.00,0.26,0.52
"alpha[1, 83]",13.5,6.9,7,26,1182,819,1.00,0.21,0.38
"alpha[1, 84]",16,8.4,5.7,31,1393,897,1.00,0.24,0.44
"alpha[1, 85]",21.2,8,13,37,1312,789,1.00,0.24,0.25
"alpha[1, 86]",10.4,6,3.6,21,819,501,1.00,0.19,0.28
"alpha[1, 87]",30.7,8.3,21,47,1406,645,1.01,0.25,0.25
"alpha[1, 88]",2.3,3,0.31,5.4,656,327,1.00,0.17,0.62
"alpha[1, 89]",19.3,8.2,11,35,1448,883,1.00,0.24,0.32
"alpha[1, 90]",18.4,8,10,32,1324,768,1.00,0.27,0.58
"alpha[1, 91]",21.3,8.2,13,38,1255,730,1.00,0.25,0.35
"alpha[1, 92]",19.2,7.9,10,34,905,763,1.00,0.26,0.35
"alpha[1, 93]",30.4,8.8,20,47,1216,848,1.00,0.25,0.27
"alpha[1, 94]",29.2,7.4,21,43,1135,875,1.00,0.22,0.28
"alpha[1, 95]",23.1,7.7,15,37,1589,809,1.00,0.22,0.25
"alpha[1, 96]",6.2,3.3,2,12,2262,926,1.00,0.074,0.063
"alpha[1, 97]",2.5,2,0.46,6,1503,1011,1.00,0.054,0.071
"alpha[1, 98]",26.8,8,18,41,1087,697,1.00,0.27,0.38
"alpha[1, 99]",3.8,2.1,1.3,7.6,1461,713,1.00,0.053,0.055
"alpha[1, 100]",11.1,6.3,4.8,23,929,841,1.00,0.21,0.33
"alpha[1, 101]",29.1,7.3,20,42,803,549,1.01,0.23,0.28
"alpha[1, 102]",15.9,5.3,8.6,25,1635,625,1.00,0.14,0.12
"alpha[1, 103]",13.7,7.7,6.9,28,996,813,1.00,0.24,0.46
"alpha[1, 104]",60.1,15.8,38,89,2223,731,1.00,0.34,0.28
